canton,provincia,Poblacion total,Superficie (km2),Densidad de poblacion - Personas por km2,Viviendas individuales ocupadas,Promedio de ocupantes - Promedio de personas por vivienda individual ocupada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida,Porcentaje de poblacion urbana - Personas que viven en zona urbana por cada 100,Relacion hombres-mujeres - Hombres por cada 100mujeres,Relacion de dependencia demografica - Personas dependientes (menores de 15anhos o de 65y mas) por cada 100personas en edad productiva (15a 64anhos),Porcentaje de viviendas en buen estado,Porcentaje de viviendas hacinadas - Viviendas con mas de 3personas por dormitorio por cada cien viviendas ocupadas,Porcentaje de alfabetismo - 10a 24anhos,Porcentaje de alfabetismo - 25y mas anhos,Escolaridad promedio - 25a 49anhos,Escolaridad promedio - 50o mas anhos,Porcentaje de asistencia a la educacion regular - 18a 24anhos,Porcentaje de asistencia a la educacion regular - 25y mas anhos,Tasa neta de participacion - Hombres,Tasa neta de participacion - Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada
ALAJUELA,ALAJUELA,254886,388.4,656,72031,3.49,28.2,7.6,88,97.4,44.3,68.9,4.3,99.3,97.7,9.4,7.4,43.2,8.3,73.8,38.6,12.4,10.1,9.6,13.4
SAN RAMON,ALAJUELA,80566,1018.6,79,23301,3.44,28.4,8.3,52.9,96.4,47.5,66.7,3.4,99.1,96.7,9,6.9,51.1,8.6,71.1,32.1,18.3,6.9,10.4,15.4
GRECIA,ALAJUELA,76898,395.7,194,21709,3.53,24,7,61.5,98.4,46.2,67.6,3.2,99.1,96.7,8.8,6.6,42.3,6.2,74.8,33.4,15,9.1,10.1,14.4
SAN MATEO,ALAJUELA,6136,125.9,49,1834,3.34,21.5,8.7,26.3,104,51.4,55.2,3.2,99.6,96.9,8.3,6.5,39.1,5,67,21.7,20.7,5.3,11.6,15.9
ATENAS,ALAJUELA,25460,127.2,200,7472,3.41,22.9,8.5,56.2,100.1,44.9,74.4,2.3,99.3,97.4,9.4,7.3,50.4,6.7,70.3,31.6,12.7,8.2,9.4,10.8
NARANJO,ALAJUELA,42713,126.6,337,11678,3.65,26.4,7.2,53.9,95.8,47.8,65.8,3.5,99,96.5,8.5,6.1,46,6.2,72.9,30,17.8,6.8,9.6,16.4
PALMARES,ALAJUELA,34716,38.1,912,9657,3.58,27.6,9.5,80.9,97.1,44.6,65.9,2.2,99.3,97.7,9.5,7.2,55.7,7.7,70.7,33.7,16.2,4,9.7,13.3
POAS,ALAJUELA,29199,73.8,395,7906,3.69,22.8,9.3,57.9,98.8,46.4,70.1,4.1,99,96.6,8.3,5.9,40.2,5.7,75.2,31.8,15.8,7.5,9.3,14.3
OROTINA,ALAJUELA,20341,141.9,143,6024,3.37,27.8,5.1,51.7,96.4,49.4,59.9,5.2,99,95.6,8.6,6.5,43.6,6.6,68.5,28.9,17.9,5.4,11.3,15.4
SAN CARLOS,ALAJUELA,163745,3348,49,44966,3.62,24.7,7.6,47.4,100.4,52.1,61.1,6.5,98.6,93.9,7.6,5.6,34.4,6.5,76.2,32.3,20.5,14.4,8.8,19.5
