canton,provincia,Poblacion total,Superficie (km2),Densidad de poblacion - Personas por km2,Viviendas individuales ocupadas,Promedio de ocupantes - Promedio de personas por vivienda individual ocupada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida,Porcentaje de poblacion urbana - Personas que viven en zona urbana por cada 100,Relacion hombres-mujeres - Hombres por cada 100mujeres,Relacion de dependencia demografica - Personas dependientes (menores de 15anhos o de 65y mas) por cada 100personas en edad productiva (15a 64anhos),Porcentaje de viviendas en buen estado,Porcentaje de viviendas hacinadas - Viviendas con mas de 3personas por dormitorio por cada cien viviendas ocupadas,Porcentaje de alfabetismo - 10a 24anhos,Porcentaje de alfabetismo - 25y mas anhos,Escolaridad promedio - 25a 49anhos,Escolaridad promedio - 50o mas anhos,Porcentaje de asistencia a la educacion regular - 18a 24anhos,Porcentaje de asistencia a la educacion regular - 25y mas anhos,Tasa neta de participacion - Hombres,Tasa neta de participacion - Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada
ZARCERO,ALAJUELA,12205,155.1,79,3333,3.65,21,6.3,43.4,100,46.3,73.9,3.2,99.2,96.9,8.2,6.1,40.6,5.1,80.2,29.3,22.3,9.9,7.8,17.2
VALVERDE VEGA,ALAJUELA,18085,120.3,150,5054,3.57,26.6,7.9,37,96.5,47.9,63.5,3.2,98.7,96.2,8.2,5.9,43.3,6,72.9,30.2,20.2,7.7,9.1,16.5
UPALA,ALAJUELA,43953,1580.7,28,11518,3.81,24.9,7.7,21.4,100.4,60.4,41.6,10.4,99.1,90.9,7,4.4,38.2,6.9,67.7,22.4,30.1,12.7,13.5,30.6
LOS CHILES,ALAJUELA,23735,1358.9,17,6035,3.93,22.5,8,20.4,104.4,58.7,39.8,14.2,97.1,86.8,6.1,4.1,30.2,5.9,71.9,21.8,30.8,27.7,10.8,28.4
GUATUSO,ALAJUELA,15508,758.3,20,4409,3.51,22.4,7.9,17.2,103.5,55.4,44.7,7.2,98.5,91.7,6.8,4.5,29.6,4.2,70.7,21.1,27.7,9.1,13,22.4
CARTAGO,CARTAGO,147898,287.8,514,38618,3.8,28.7,6.4,88.7,96.1,43.9,74.1,2.9,99.3,97.9,9.8,7.6,51.9,9.2,72.2,35.3,13.7,3.9,8.6,13.9
PARAISO,CARTAGO,57743,411.9,140,14626,3.94,26,4.9,76.9,95.9,45.8,70.8,4,99.3,97.2,8.3,6,42.9,6.9,74.2,29.9,13.9,2.4,8,13.5
LA UNION,CARTAGO,99399,44.8,2217,26979,3.67,31.5,8.4,97,93.2,43.7,69.7,4.7,99.4,98.3,10.2,8,47.6,9.8,75.4,44.7,12.9,9.7,9.4,14.1
JIMENEZ,CARTAGO,14669,286.4,51,4113,3.56,25.6,10,52.6,98.9,46.8,56.7,2,99.1,95.3,7.4,5.2,44,5.9,70.3,23.8,12.7,2.4,10.9,11
TURRIALBA,CARTAGO,69616,1642.7,42,20453,3.4,26.5,8.3,57.4,97.8,49.1,64.9,3.4,98.8,94.8,8.3,6,49.1,8.2,67.7,28.1,14.9,2.2,11.7,12.6
ALVARADO,CARTAGO,14312,81.1,177,3612,3.95,19.5,8.8,62.6,100.3,47.6,72.4,3.1,98.8,96.4,7.3,5.2,35.7,5.5,79.7,26.7,18.1,1.4,8.9,14.3
OREAMUNO,CARTAGO,45473,201.3,226,11232,4.04,26,7.2,87.5,95.7,45.5,76.7,4,99.1,97,8.8,6.7,46.8,7.8,75.8,33.5,17.2,1.4,8.3,15.7
EL GUARCO,CARTAGO,41793,167.7,249,10831,3.83,23.7,7.3,87.7,101.5,44.7,73.2,2.5,99.5,97.9,9.2,6.5,44.8,8.7,75.5,34.8,12.9,2.8,8.1,13
LIBERIA,GUANACASTE,62987,1436.5,44,16577,3.75,33.1,7.5,82,95.9,49.9,64.5,8.8,99,97,9.4,7.5,45.3,8.5,67.5,37.7,16.8,10.2,7.9,18.9
NICOYA,GUANACASTE,50825,1333.7,38,15038,3.38,30.7,5.9,44.1,96.7,50.6,56.3,5.2,99.5,96.3,9,6.7,45.1,6.7,60.2,28.1,17.5,3.3,13.8,14.2
SANTA CRUZ,GUANACASTE,55104,1312.3,42,16645,3.31,31.7,4.9,48.1,98.1,48.1,61.9,6,99.4,97.5,9.5,7.4,37.5,6.2,62.3,33.2,21.4,8.6,12.3,22.2
BAGACES,GUANACASTE,19536,1273.5,15,5615,3.48,26.8,5.5,46.7,101.8,54.5,53.3,6.5,99.2,94.5,7.8,5.4,38.4,5.9,68.9,23.2,17.8,8.3,9.4,16.2
CARRILLO,GUANACASTE,37122,577.5,64,10141,3.65,29.2,5.8,62.3,100.4,50.8,61.7,9,99.1,97.2,8.8,7,32.9,4.9,63.9,29.3,17.7,12.1,10.2,19.6
CANHAS,GUANACASTE,26201,682.2,38,7172,3.65,28.8,6,80,97.1,50.8,54.8,7.8,98.8,95.2,8.3,6.1,39.1,7.1,70.8,29.8,14.3,8.1,9.7,16
ABANGARES,GUANACASTE,18039,675.8,27,5311,3.39,26.7,6.6,30.4,99.9,51.4,49.7,5.4,98.8,93.8,7.7,5.2,35.1,4.8,69.6,25,21.8,3.7,12,19.2
TILARAN,GUANACASTE,19640,638.4,31,6018,3.26,24.8,9.5,50.7,98.3,52.9,65.9,2.5,99.2,95,8.3,6,45.7,6.2,71.5,26.5,16.7,5.7,11.7,13.7
NANDAYURE,GUANACASTE,11121,565.6,20,3307,3.35,23.8,11.2,20.7,104,51.2,50.7,3.7,99.3,94.7,7.7,5.2,45.1,5.4,63.1,20.8,18.1,3.2,13.9,14.9
LA CRUZ,GUANACASTE,19181,1383.9,14,4732,4.05,27.6,7.3,37.1,96.9,59.3,41.6,10.7,98.6,90.5,7.1,4.5,34,6.6,68.7,23,32.1,18.2,9.4,30
HOJANCHA,GUANACASTE,7197,261.4,28,2028,3.55,24.4,9.3,24.3,103.2,48.5,58.1,3,99.5,95,8.3,5.5,58.3,6.4,63.6,23.3,17.7,2.6,12.6,12.7
HEREDIA,HEREDIA,123616,282.6,437,35216,3.5,34.9,9.2,99.7,90.3,40.8,78.2,3.9,99.5,98.9,11.2,9.4,54.2,10.6,73.1,46.5,9.2,11.3,10.5,10.5
BARVA,HEREDIA,40660,53.8,756,11291,3.59,27.4,9.5,91,95.7,40.7,78.6,2.4,99.5,98.6,10.9,8.8,50.7,9.5,74.7,42,10,5.4,9.5,9.6
SANTO DOMINGO,HEREDIA,40072,24.8,1613,11496,3.48,30.4,10.1,100,94.6,41.3,77.6,2.9,99.4,98.9,11.2,9.2,56.4,9.6,72.4,43,9.9,7.7,9.8,9.3
SANTA BARBARA,HEREDIA,36243,53.2,681,10107,3.58,24.6,8,87.8,97.3,43.4,76.4,2.9,99.4,98.1,9.6,7.2,46.3,8.6,75.6,38,11.7,6.8,9.7,11.4
SAN RAFAEL,HEREDIA,45965,48.4,950,12957,3.54,30.5,10.3,90.3,95.3,42.8,74.1,3.1,99.5,98.4,10.6,8.3,51.5,9.7,73.5,43.3,12.1,8.1,9.4,12.3
SAN ISIDRO,HEREDIA,20633,27,765,5807,3.54,28.5,11.9,94.6,98,41.2,76.6,2.4,99.8,98.2,10.5,8.2,52.6,9.5,75.1,43.1,11.2,7.7,8.6,11.2
BELEN,HEREDIA,21633,12.1,1780,6011,3.59,28.6,10.6,100,94.2,38.7,82.5,2.9,99.7,98.8,11.2,8.7,50.5,7.8,74.1,44.1,9.8,12,8.8,10.3
FLORES,HEREDIA,20037,7,2879,5751,3.48,28.5,11.2,100,95.9,41.3,83,2.4,99.3,99,11.5,9,50.9,9.4,74.3,44.5,9.3,7.8,9.4,9
SAN PABLO,HEREDIA,27671,7.5,3675,8006,3.44,32.5,11.3,100,93.1,38.6,82.3,2.6,99.5,98.9,12,9.7,57.7,10.6,72,46.2,8,7.6,11,8.8
SARAPIQUI,HEREDIA,57147,2140.5,27,15768,3.6,24,5.9,18.1,103.4,55.6,44.7,9.1,98.2,91.9,6.4,4.6,31.3,5.2,73.8,26.5,18.1,17.8,10.5,19.3
LIMON,LIMON,94415,1765.8,53,26666,3.52,32.7,4.4,71.2,94,56.9,51.1,8.3,99.1,95.7,8.7,7,39.7,8.7,66.6,32.6,12.6,6.7,11.8,15.4
POCOCI,LIMON,125962,2403.5,52,36238,3.46,26.5,6.3,59.2,100.9,51.6,51.8,6.3,99.1,95,7.6,5.4,32.9,6.9,73.5,28.9,16.2,7.5,11.4,16.1
SIQUIRRES,LIMON,56786,860.2,66,16206,3.49,25,6.6,53.8,102.6,52.7,48.2,5.9,99.1,95,7.2,5.2,31.5,6.3,73.9,26.8,10.8,6.9,10.8,10.4
TALAMANCA,LIMON,30712,2809.9,11,7999,3.83,26.7,5.2,23.4,104,65.1,44.1,14.1,97.9,89.6,6.9,5.2,30.7,6.7,71.1,28.8,19.1,16.3,9.6,17.6
MATINA,LIMON,37721,772.6,49,10410,3.59,22.6,2.7,50.9,108.1,56,37.1,10.5,99,94.1,6.7,4.9,27.5,6,75.5,26.4,9.8,14.5,10.5,12.1
GUACIMO,LIMON,41266,576.5,72,11797,3.47,27.6,5.4,48.7,99.9,53.8,51.4,5.7,99.1,94.9,7,5,32.2,5.6,73.7,27.2,14.1,8.5,11.6,12.4
PUNTARENAS,PUNTARENAS,115019,1842.3,62,33228,3.44,29.9,4.8,71.5,99.1,51.3,51.1,7.9,99.1,96.1,8.3,6.4,40.2,7.3,67.1,29.9,15.4,5.6,10.9,14.2
ESPARZA,PUNTARENAS,28644,216.8,132,8435,3.39,26.6,8.1,74.6,96.6,50,59.4,4.6,99.1,96.9,9.2,6.9,46.1,8,70,30.1,15.1,4.3,12,14
BUENOS AIRES,PUNTARENAS,45244,2384.2,19,12205,3.7,25.3,6.7,37.7,101.7,60.7,42.7,9.2,98.9,92.8,6.7,4.4,36.5,7.2,70.8,19.3,13.5,2.2,10.5,10.3
MONTES DE ORO,PUNTARENAS,12950,244.8,53,3929,3.29,24.8,8.4,68.5,98.9,48.3,62.5,3.9,99.4,95.1,8.9,6.1,44.6,6.1,67.6,28,11.8,4.3,10.8,9.6
OSA,PUNTARENAS,29433,1930.2,15,8904,3.3,26.6,8.6,38,104.5,52.1,43.2,6.3,98.7,93.4,7.5,5.4,32.7,6.1,68.7,27.4,19.2,4.1,14.1,15.1
QUEPOS,PUNTARENAS,26861,543.8,49,8094,3.32,24.6,8,52.8,106.1,46.3,47.8,8.2,99,95.2,7.8,6.3,30.8,5.9,74.4,34.5,16.1,9.7,9.1,16.5
GOLFITO,PUNTARENAS,39150,1754,22,11576,3.37,27.7,6.6,46.9,102.3,53.6,45.1,7.2,99.4,94.1,7.8,5.5,35.8,6.9,68.5,28,22.6,3.7,12.9,23.7
COTO BRUS,PUNTARENAS,38453,933.9,41,10936,3.5,24.6,7.8,23,99,60.5,46.5,5.1,98,92.8,7.4,4.6,40.1,6.6,68.7,21.8,16.7,4.9,12.1,14.2
PARRITA,PUNTARENAS,16115,478.8,34,4833,3.32,25.1,5.9,53.2,104.5,48.3,51.4,6.3,99.2,92.2,7.3,5,31.9,5.2,73.1,27,15.1,7.6,9.5,14.9
CORREDORES,PUNTARENAS,41831,620.6,67,11849,3.52,28.3,6.1,51.3,98.1,55.2,46,7.2,99,94.3,8.2,5.4,37.3,8,71.6,29,19.2,5.9,12.1,15.7
GARABITO,PUNTARENAS,17229,316.3,54,5313,3.24,27.5,4.5,73.1,100.7,48.1,61.5,12.9,99.1,95.5,7.9,6.3,23.3,4.3,79.1,41.6,25.3,24.1,7.9,24.2
SAN JOSE,SAN JOSE,288054,44.6,6456,81903,3.5,39.6,6.9,100,89.9,45.7,63.4,6.8,99.4,98.5,10.3,9.2,46.2,9.5,71.2,44.2,13.7,16.3,12.3,14.2
ESCAZU,SAN JOSE,56509,34.5,1638,16565,3.4,32.5,8.7,99.3,89.3,41.9,74.3,3.8,99.4,98.8,11.4,10.1,49.9,7.6,74,49.2,13.8,19.9,10.4,14.2
DESAMPARADOS,SAN JOSE,208411,118.3,1762,57355,3.62,34.2,6.9,93.6,92.2,43.9,66,4.8,99.4,98.3,9.6,7.7,45.4,9.7,74.3,41.6,14.3,8.9,10.5,14.5
PURISCAL,SAN JOSE,33004,553.7,60,9787,3.36,28.2,6.9,23.4,100.8,45.6,64.5,2.2,99.5,95.3,9.2,6,52.4,8.4,69.7,32,12.5,2.2,13.1,10.4
TARRAZU,SAN JOSE,16280,297.5,55,4551,3.58,23,13.2,50.3,98.8,51.4,66.2,2.5,98.7,95.1,7.5,5.3,37.1,6.4,78.8,24,17.8,5.8,9.1,14
ASERRI,SAN JOSE,57892,167.1,346,16120,3.59,30,5.8,71.1,95.8,45.2,62.5,4.4,99.1,97.4,8.7,6.4,39.5,7.2,74.7,35.6,14,4.9,10.8,13.8
MORA,SAN JOSE,26294,162,162,7782,3.38,28.7,10.1,45.9,93.6,43.1,68.8,3,99.4,97.4,9.9,7.3,48.8,8.1,73.9,38.2,11.6,7.4,10.2,11.1
GOICOECHEA,SAN JOSE,115084,31.5,3653,32520,3.53,37.1,7.3,98.5,89.2,43,68,4.3,99.4,98.9,10.5,8.7,48.9,10.5,72.1,43.6,12,9.5,11.7,12.1
SANTA ANA,SAN JOSE,49123,61.4,800,14235,3.43,29.8,10.2,93.2,91.7,41.2,76.9,3.8,99.3,98.4,11.2,9.2,46.5,7.3,75.9,49.1,13.8,18.9,9.9,13.5
ALAJUELITA,SAN JOSE,77603,21.2,3666,19832,3.91,36.3,5.8,99,92.8,48,57.6,8.4,99.4,98.1,8.7,6.6,36.9,7.6,74.9,39.3,16.5,12.9,11.2,16.5
VAZQUEZ DE CORONADO,SAN JOSE,60486,222.2,272,17155,3.52,31.3,8.1,96.4,93,38.9,73.1,2.5,99.5,98.8,10.8,8.4,54,11.1,73.9,44.4,11,4.5,10.2,11
ACOSTA,SAN JOSE,20209,342.2,59,5871,3.44,26.5,4.9,12.5,102.3,48.7,60.9,2.7,99.2,93.7,7.7,5,46.3,7.2,73,25.9,12.2,1.2,10.2,9.2
TIBAS,SAN JOSE,64842,8.1,7956,19160,3.38,40.1,7.6,100,87.5,43.4,70.6,3.6,99.5,98.7,11.1,9.3,52.7,10.2,70.4,43.8,10.7,10.7,11.5,11.6
MORAVIA,SAN JOSE,56919,28.6,1989,16874,3.36,33.9,8.3,99.4,88.6,41.1,78.7,2.6,99.5,99.1,11.7,10.1,57.8,10.8,73.3,46,10.7,8.6,10.7,10.7
MONTES DE OCA,SAN JOSE,49132,15.2,3241,16589,2.94,40.4,9.9,100,87.4,35.3,79.9,2,99.7,99.4,12.9,11.2,69.3,14.2,69.2,49.9,9.3,13.1,11.1,10.2
TURRUBARES,SAN JOSE,5512,415.3,13,1679,3.27,24.2,10.9,13.4,107.2,49.7,44.9,3.5,99.4,92.7,7.3,5.2,39.9,4.7,72.9,21.4,23.6,4.5,11.5,18.1
DOTA,SAN JOSE,6948,400.2,17,1952,3.54,23.6,6.2,30.6,95.8,50.5,74.3,2.7,99.1,96.2,8,6.1,44.1,6.5,76.6,27.1,18.5,7.1,8.2,15.1
CURRIDABAT,SAN JOSE,65206,15.9,4088,19146,3.4,35.2,8.5,100,88.4,40.1,74.4,4.3,99.4,98.8,11.3,10.4,53.2,9.6,72.6,47.1,12.1,15.2,9.5,13.3
PEREZ ZELEDON,SAN JOSE,134534,1905.5,71,38508,3.48,29.3,7.8,48.5,94.6,51.4,63.1,3.4,99.3,96.1,8.1,5.8,45.1,7,70.8,27.2,14,2.5,10.9,12.9
LEON CORTES CASTRO,SAN JOSE,12200,120.8,101,3377,3.61,21.7,5.7,40.5,101.3,46.9,57.6,2.6,98.8,95.3,7.1,5.1,37,4.6,75.9,18.4,16,4.1,9.6,13
