<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060131000000,66.4,66.94,65.44,65.99,0.0
20060201000000,65.76,67.27,64.19,65.03,0.0
20060202000000,64.9,65.52,62.53,62.88,0.0
20060203000000,62.75,63.6,62.15,63.39,0.0
20060206000000,63.85,64.5,63.1,63.33,0.0
20060207000000,63.21,63.23,61.23,61.56,0.0
20060208000000,61.51,61.89,60.75,61.06,0.0
20060209000000,61.23,62.05,60.57,60.75,0.0
20060210000000,61.23,61.23,59.41,59.64,0.0
20060213000000,59.26,60.03,58.94,59.38,0.0
20060214000000,60.51,60.97,59.3,59.52,0.0
20060215000000,59.52,59.92,57.9,58.15,0.0
20060216000000,58.15,59.5,58.05,58.79,0.0
20060217000000,59.45,60.32,59.1,59.89,0.0
20060220000000,60.0,61.74,60.0,61.54,0.0
20060221000000,61.51,61.75,60.9,61.6,0.0
20060222000000,61.33,61.42,60.0,60.44,0.0
20060223000000,60.17,61.11,59.81,60.54,0.0
20060224000000,60.85,62.87,60.8,62.6,0.0
20060227000000,62.2,62.28,60.73,60.99,0.0
20060228000000,60.36,62.1,60.36,61.76,0.0
20060301000000,61.95,62.76,61.65,62.45,0.0
20060302000000,62.55,64.35,62.55,64.07,0.0
20060303000000,64.4,64.64,63.57,64.18,0.0
20060306000000,64.18,64.18,62.11,62.34,0.0
20060307000000,62.3,62.84,60.78,61.17,0.0
20060308000000,61.35,61.42,59.26,60.03,0.0
20060309000000,59.86,61.55,59.85,61.06,0.0
20060310000000,61.15,61.6,60.6,60.83,0.0
20060313000000,60.8,62.51,60.6,62.2,0.0
20060314000000,62.36,64.09,61.83,63.97,0.0
20060315000000,63.56,64.1,62.51,62.94,0.0
20060316000000,62.8,63.1,62.15,62.91,0.0
20060317000000,64.14,64.35,63.18,63.26,0.0
20060320000000,63.29,63.56,61.09,61.34,0.0
20060321000000,61.32,62.41,60.98,62.13,0.0
20060322000000,61.99,62.8,61.4,61.5,0.0
20060323000000,61.81,63.61,61.42,63.27,0.0
20060324000000,63.27,63.9,62.76,63.51,0.0
20060327000000,63.5,63.8,62.8,63.61,0.0
20060328000000,63.62,65.27,63.44,64.97,0.0
20060329000000,64.97,65.87,64.69,65.55,0.0
20060330000000,65.6,67.05,65.27,66.46,0.0
20060331000000,66.75,66.81,65.52,65.91,0.0
20060403000000,66.3,67.93,66.26,66.84,0.0
20060404000000,66.7,66.87,65.73,66.39,0.0
20060405000000,66.39,67.4,65.84,67.1,0.0
20060406000000,67.5,68.24,67.38,67.84,0.0
20060407000000,67.62,67.7,66.62,67.29,0.0
20060410000000,67.3,68.99,67.3,68.75,0.0
20060411000000,68.8,69.7,68.35,69.37,0.0
20060412000000,69.15,69.97,69.13,69.42,0.0
20060413000000,69.45,70.99,69.08,70.57,0.0
20060417000000,70.99,71.62,70.52,71.46,0.0
20060418000000,71.5,72.64,71.22,72.51,0.0
20060419000000,72.35,74.0,72.22,73.73,0.0
20060420000000,73.44,74.22,72.37,73.18,0.0
20060421000000,72.65,74.79,72.2,74.57,0.0
20060424000000,74.63,74.76,72.7,73.0,0.0
20060425000000,72.66,74.02,72.04,73.21,0.0
20060426000000,73.1,73.63,71.73,72.09,0.0
