<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150212000000,1.729,1.7768,1.71,1.769,0.0
20150213000000,1.769,1.8889,1.76,1.825,0.0
20150214000000,1.825,1.985,1.825,1.9511,0.0
20150215000000,1.9525,2.0443,1.7893,1.8316,0.0
20150216000000,1.8316,1.85,1.79,1.802,0.0
20150217000000,1.802,1.8739,1.7871,1.857,0.0
20150218000000,1.857,1.8878,1.7931,1.81,0.0
20150219000000,1.81,1.8587,1.807,1.839,0.0
20150220000000,1.839,1.864,1.83,1.846,0.0
20150221000000,1.846,1.8629,1.835,1.851,0.0
20150222000000,1.851,1.868,1.777,1.7867,0.0
20150223000000,1.7867,1.839,1.7867,1.8191,0.0
20150224000000,1.8191,1.828,1.8042,1.828,0.0
20150225000000,1.828,1.8329,1.788,1.814,0.0
20150226000000,1.814,1.8263,1.8,1.8,0.0
20150227000000,1.8,1.8879,1.799,1.863,0.0
20150228000000,1.863,1.865,1.832,1.852,0.0
20150301000000,1.852,1.9261,1.8111,1.9219,0.0
20150302000000,1.9219,1.9641,1.8878,1.958,0.0
20150303000000,1.958,2.0055,1.905,1.9618,0.0
20150304000000,1.9618,1.985,1.91,1.933,0.0
20150305000000,1.933,1.9599,1.886,1.932,0.0
20150306000000,1.932,1.9425,1.8804,1.9079,0.0
20150307000000,1.9079,1.943,1.8913,1.923,0.0
20150308000000,1.923,1.924,1.8704,1.8929,0.0
20150309000000,1.8929,1.97,1.9061,1.9584,0.0
20150310000000,1.9584,2.1021,1.9902,2.004,0.0
20150311000000,2.004,2.0329,1.998,2.031,0.0
20150312000000,2.031,2.076,2.001,2.0554,0.0
20150313000000,2.0554,2.0589,2.0,2.0,0.0
20150314000000,2.0,2.0268,1.9741,1.9884,0.0
20150315000000,1.9884,2.034,1.9821,2.0194,0.0
20150316000000,2.0194,2.06,2.0156,2.0222,0.0
20150317000000,2.0222,2.0409,1.9692,1.99,0.0
20150318000000,1.99,1.99,1.722,1.7596,0.0
20150319000000,1.7596,1.818,1.651,1.7791,0.0
20150320000000,1.7791,1.8,1.755,1.791,0.0
20150321000000,1.791,1.791,1.73,1.75,0.0
20150322000000,1.75,1.814,1.7381,1.8,0.0
20150323000000,1.8,1.8164,1.75,1.791,0.0
20150324000000,1.791,1.8099,1.6301,1.657,0.0
20150325000000,1.657,1.8138,1.61,1.6962,0.0
20150326000000,1.6962,1.7281,1.6912,1.6915,0.0
20150327000000,1.6915,1.71,1.676,1.682,0.0
20150328000000,1.682,1.725,1.682,1.718,0.0
20150329000000,1.718,1.6868,1.634,1.651,0.0
20150330000000,1.651,1.6898,1.683,1.685,0.0
20150331000000,1.685,1.685,1.63,1.6525,0.0
20150401000000,1.6525,1.68,1.625,1.68,0.0
20150402000000,1.68,1.719,1.6471,1.684,0.0
20150403000000,1.684,1.7289,1.675,1.7,0.0
20150404000000,1.7,1.7048,1.6781,1.689,0.0
20150405000000,1.689,1.7199,1.676,1.7012,0.0
20150406000000,1.7012,1.72,1.6586,1.6954,0.0
20150407000000,1.6954,1.6954,1.64,1.666,0.0
20150408000000,1.666,1.6759,1.6101,1.6305,0.0
