Pfam_domain	1st_count(3858)	2nd_count(561)	p_value
IlvN	48	0	0.014751156551881797
Alpha-amylase	43	0	0.02245130424214274
TPP_enzyme_N	42	0	0.024431600657863175
CPSase_L_D2	35	0	0.044421708832842834
Biotin_lipoyl	48	0	0.014751156551881797
ATP-grasp	37	0	0.03740071033384832
Amidohydro_1	34	0	0.04843265610104104
Amidohydro_3	34	0	0.04843265610104104
Aminotran_3	52	0	0.010569431016284572
His_biosynth	46	1	0.04912045253411896
AAA_33	46	1	0.04912045253411896
AAA_22	46	1	0.04912045253411896
AAA_16	46	1	0.04912045253411896
K_oxygenase	36	0	0.04075474588980472
