 Enu        NuMu       NuMubar    NuE        NuEbar
 1.2589E+02 1.7170E-04 1.2524E-04 1.8900E-05 1.4982E-05
 1.4125E+02 1.2082E-04 8.7493E-05 1.2595E-05 1.0021E-05
 1.5849E+02 8.4934E-05 6.1044E-05 8.3999E-06 6.6884E-06
 1.7783E+02 5.9642E-05 4.2550E-05 5.6007E-06 4.4592E-06
 1.9953E+02 4.1860E-05 2.9632E-05 3.7264E-06 2.9744E-06
 2.2387E+02 2.9351E-05 2.0619E-05 2.4841E-06 1.9809E-06
 2.5119E+02 2.0552E-05 1.4329E-05 1.6545E-06 1.3191E-06
 2.8184E+02 1.4382E-05 9.9466E-06 1.0991E-06 8.8037E-07
 3.1623E+02 1.0072E-05 6.9127E-06 7.3285E-07 5.8621E-07
 3.5481E+02 7.0247E-06 4.7854E-06 4.8824E-07 3.9028E-07
 3.9811E+02 4.9006E-06 3.3140E-06 3.2509E-07 2.5986E-07
 4.4668E+02 3.4166E-06 2.2922E-06 2.1619E-07 1.7287E-07
 5.0119E+02 2.3797E-06 1.5839E-06 1.4404E-07 1.1497E-07
 5.6234E+02 1.6607E-06 1.0962E-06 9.6213E-08 7.6497E-08
 6.3096E+02 1.1507E-06 7.5356E-07 6.4196E-08 5.0961E-08
 7.0795E+02 7.9822E-07 5.1883E-07 4.2836E-08 3.3883E-08
 7.9433E+02 5.5299E-07 3.5666E-07 2.8535E-08 2.2493E-08
 8.9125E+02 3.8261E-07 2.4496E-07 1.8988E-08 1.4957E-08
 1.0000E+03 2.6558E-07 1.6871E-07 1.2660E-08 9.9307E-09
 1.1220E+03 1.8246E-07 1.1499E-07 8.4425E-09 6.5864E-09
 1.2589E+03 1.2559E-07 7.8643E-08 5.6218E-09 4.3701E-09
 1.4125E+03 8.6273E-08 5.3686E-08 3.7511E-09 2.8994E-09
 1.5849E+03 5.9216E-08 3.6565E-08 2.5038E-09 1.9312E-09
 1.7783E+03 4.0586E-08 2.4858E-08 1.6643E-09 1.2867E-09
 1.9953E+03 2.7787E-08 1.6931E-08 1.1106E-09 8.5033E-10
 2.2387E+03 1.8966E-08 1.1477E-08 7.3913E-10 5.6219E-10
 2.5119E+03 1.2922E-08 7.7683E-09 4.9152E-10 3.7227E-10
 2.8184E+03 8.7858E-09 5.2533E-09 3.2677E-10 2.4571E-10
 3.1623E+03 6.0714E-09 3.6033E-09 2.1676E-10 1.6268E-10
 3.5481E+03 4.0380E-09 2.3820E-09 1.4343E-10 1.0732E-10
 3.9811E+03 2.7292E-09 1.6003E-09 9.4938E-11 7.1008E-11
 4.4668E+03 1.8413E-09 1.0736E-09 6.2979E-11 4.6669E-11
 5.0119E+03 1.2399E-09 7.1821E-10 4.1692E-11 3.0757E-11
 5.6234E+03 8.3307E-10 4.7949E-10 2.7497E-11 2.0213E-11
 6.3096E+03 5.5908E-10 3.1994E-10 1.8178E-11 1.3205E-11
 7.0795E+03 3.7442E-10 2.1289E-10 1.2010E-11 8.6523E-12
 7.9433E+03 2.5045E-10 1.4136E-10 7.9208E-12 5.6683E-12
 8.9125E+03 1.6717E-10 9.3550E-11 5.1953E-12 3.6932E-12
 1.0000E+04 1.1138E-10 6.1880E-11 3.3895E-12 2.4053E-12
