 Enu        NuMu       NuMubar    NuE        NuEbar
 1.0000E-01 1.2510E+04 1.2721E+04 6.0303E+03 5.8628E+03
 1.1220E-01 1.0820E+04 1.0974E+04 5.2650E+03 5.0749E+03
 1.2589E-01 9.3165E+03 9.4245E+03 4.5535E+03 4.3473E+03
 1.4125E-01 7.9788E+03 8.0396E+03 3.9033E+03 3.6852E+03
 1.5849E-01 6.7680E+03 6.7985E+03 3.3181E+03 3.0977E+03
 1.7783E-01 5.6791E+03 5.6910E+03 2.8021E+03 2.5836E+03
 1.9953E-01 4.7191E+03 4.7135E+03 2.3489E+03 2.1391E+03
 2.2387E-01 3.8780E+03 3.8628E+03 1.9531E+03 1.7559E+03
 2.5119E-01 3.1512E+03 3.1364E+03 1.6081E+03 1.4289E+03
 2.8184E-01 2.5405E+03 2.5262E+03 1.3094E+03 1.1521E+03
 3.1623E-01 2.0315E+03 2.0184E+03 1.0561E+03 9.2055E+02
 3.5481E-01 1.6138E+03 1.6010E+03 8.4551E+02 7.2929E+02
 3.9811E-01 1.2748E+03 1.2609E+03 6.7158E+02 5.7345E+02
 4.4668E-01 1.0006E+03 9.8645E+02 5.2934E+02 4.4778E+02
 5.0119E-01 7.7967E+02 7.6612E+02 4.1414E+02 3.4736E+02
 5.6234E-01 6.0346E+02 5.9107E+02 3.2194E+02 2.6816E+02
 6.3096E-01 4.6506E+02 4.5396E+02 2.4825E+02 2.0544E+02
 7.0795E-01 3.5649E+02 3.4687E+02 1.9005E+02 1.5613E+02
 7.9433E-01 2.7195E+02 2.6364E+02 1.4491E+02 1.1800E+02
 8.9125E-01 2.0667E+02 1.9943E+02 1.0975E+02 8.8830E+01
 1.0000E+00 1.5689E+02 1.5061E+02 8.2573E+01 6.6543E+01
 1.1220E+00 1.1874E+02 1.1333E+02 6.1792E+01 4.9585E+01
 1.2589E+00 8.9543E+01 8.4938E+01 4.6074E+01 3.6833E+01
 1.4125E+00 6.7318E+01 6.3346E+01 3.4183E+01 2.7241E+01
 1.5849E+00 5.0462E+01 4.7099E+01 2.5251E+01 2.0052E+01
 1.7783E+00 3.7657E+01 3.4887E+01 1.8570E+01 1.4658E+01
 1.9953E+00 2.7962E+01 2.5715E+01 1.3594E+01 1.0675E+01
 2.2387E+00 2.0691E+01 1.8872E+01 9.8972E+00 7.7446E+00
 2.5119E+00 1.5234E+01 1.3811E+01 7.1716E+00 5.5814E+00
 2.8184E+00 1.1171E+01 1.0080E+01 5.1680E+00 4.0044E+00
 3.1623E+00 8.1826E+00 7.3285E+00 3.7029E+00 2.8467E+00
 3.5481E+00 5.9735E+00 5.3093E+00 2.6407E+00 2.0223E+00
 3.9811E+00 4.3468E+00 3.8356E+00 1.8740E+00 1.4302E+00
 4.4668E+00 3.1567E+00 2.7691E+00 1.3226E+00 1.0074E+00
 5.0119E+00 2.2859E+00 1.9949E+00 9.3036E-01 7.0562E-01
 5.6234E+00 1.6495E+00 1.4305E+00 6.5264E-01 4.9263E-01
 6.3096E+00 1.1886E+00 1.0239E+00 4.5634E-01 3.4314E-01
 7.0795E+00 8.5528E-01 7.3195E-01 3.1725E-01 2.3823E-01
 7.9433E+00 6.1453E-01 5.2268E-01 2.1997E-01 1.6556E-01
 8.9125E+00 4.4037E-01 3.7241E-01 1.5224E-01 1.1439E-01
 1.0000E+01 3.1553E-01 2.6505E-01 1.0510E-01 7.8865E-02
 1.1220E+01 2.2560E-01 1.8843E-01 7.2260E-02 5.4236E-02
 1.2589E+01 1.6112E-01 1.3391E-01 4.9494E-02 3.7228E-02
 1.4125E+01 1.1520E-01 9.4989E-02 3.3832E-02 2.5468E-02
 1.5849E+01 8.2249E-02 6.7368E-02 2.3088E-02 1.7371E-02
 1.7783E+01 5.8689E-02 4.7822E-02 1.5733E-02 1.1845E-02
 1.9953E+01 4.1887E-02 3.3941E-02 1.0709E-02 8.0723E-03
 2.2387E+01 2.9884E-02 2.4095E-02 7.2800E-03 5.5026E-03
 2.5119E+01 2.1295E-02 1.7061E-02 4.9130E-03 3.7541E-03
 2.8184E+01 1.5154E-02 1.2068E-02 3.3277E-03 2.5609E-03
 3.1623E+01 1.0817E-02 8.5567E-03 2.2712E-03 1.7433E-03
 3.5481E+01 7.6938E-03 6.0476E-03 1.5339E-03 1.1812E-03
 3.9811E+01 5.4693E-03 4.2709E-03 1.0347E-03 7.9902E-04
 4.4668E+01 3.8852E-03 3.0143E-03 6.9667E-04 5.3979E-04
 5.0119E+01 2.7571E-03 2.1254E-03 4.6848E-04 3.6461E-04
 5.6234E+01 1.9550E-03 1.4971E-03 3.1470E-04 2.4558E-04
 6.3096E+01 1.3852E-03 1.0536E-03 2.1123E-04 1.6503E-04
 7.0795E+01 9.8019E-04 7.4022E-04 1.4156E-04 1.1096E-04
 7.9433E+01 6.9292E-04 5.1978E-04 9.4764E-05 7.4466E-05
 8.9125E+01 4.8953E-04 3.6485E-04 6.3494E-05 4.9909E-05
 1.0000E+02 3.4572E-04 2.5584E-04 4.2398E-05 3.3487E-05
 1.1220E+02 2.4374E-04 1.7906E-04 2.8307E-05 2.2409E-05
