,2,4,5,7
311,57,25,38,24
312,9,28,28,27
313,77,48,15,30
314,66,14,16,13
315,105,30,18,10
316,33,17,27,10
317,32,23,107,10
318,102,19,31,17
319,36,53,64,28
320,59,27,43,20
321,48,17,58,14
322,14,45,51,42
323,53,35,81,3
324,75,37,54,21
325,121,20,73,14
326,68,35,85,17
327,26,28,99,24
328,93,15,100,9
329,110,63,29,21
330,127,46,104,35
331,3,41,7,9
332,8,51,23,17
333,88,35,42,24
334,45,45,46,0
335,98,26,47,6
336,52,27,10,23
337,37,47,113,37
338,56,30,67,27
339,60,30,61,27
340,63,35,17,10
341,78,56,69,14
342,74,29,116,26
343,79,29,101,24
344,80,59,12,16
345,62,57,120,35
346,95,24,119,0
347,108,45,40,17
348,109,25,65,23
349,129,45,20,14
350,128,17,86,9
351,1,34,114,30
352,25,44,70,42
353,130,28,118,23
354,5,47,111,30
355,6,13,125,7
356,34,38,71,0
357,4,23,41,20
358,24,36,83,33
359,96,49,82,7
360,115,28,117,27
361,72,35,35,27
362,39,37,90,26
363,13,31,89,14
364,94,33,21,3
365,2,14,123,13
366,8,47,112,3
367,56,42,40,38
368,129,35,81,31
369,53,38,65,10
370,1,45,70,42
371,25,27,71,24
372,4,37,23,29
373,9,31,99,28
374,18,56,11,9
375,66,48,15,17
376,20,25,109,24
377,91,31,21,28
378,26,20,108,14
379,85,24,27,17
380,29,33,17,17
381,123,20,28,17
382,30,69,74,31
383,51,31,33,28
384,106,34,37,10
385,38,38,124,24
386,55,55,35,20
387,57,27,97,19
388,58,24,16,14
389,60,17,43,9
390,110,31,67,21
391,77,48,48,3
392,84,42,59,13
393,88,14,86,12
394,105,48,2,21
395,14,41,121,10
396,122,59,73,7
397,3,45,100,7
398,10,52,7,20
399,127,38,12,36
400,79,42,47,35
401,95,34,50,27
402,61,24,42,17
403,63,45,49,7
404,64,68,41,21
405,75,17,44,10
406,52,40,62,24
407,92,33,113,23
408,98,43,46,0
409,80,13,101,10
410,45,31,104,13
411,94,34,107,28
412,116,20,87,7
413,128,38,54,13
414,13,24,130,14
415,6,30,117,10
416,5,45,19,44
417,111,31,82,14
418,118,52,114,28
419,126,28,24,0
420,76,49,115,14
421,34,27,89,3
422,105,58,11,17
423,37,21,92,13
424,66,30,28,27
425,96,15,83,14
426,14,35,33,3
427,56,56,107,26
428,91,38,108,34
429,2,21,16,20
430,22,24,38,10
431,103,27,23,7
432,64,52,26,12
433,36,42,31,7
434,49,29,100,26
435,32,41,53,30
436,54,42,43,39
437,55,30,4,27
438,59,35,88,14
439,57,24,73,19
440,78,39,84,38
441,85,31,121,14
442,69,25,86,24
443,93,34,120,27
444,122,24,27,3
445,124,42,51,32
446,80,50,127,39
447,17,41,90,20
448,101,38,12,7
449,128,24,42,10
450,44,17,61,10
451,45,14,98,7
452,47,30,46,20
453,74,45,81,38
454,75,39,60,31
455,79,49,104,27
456,7,38,62,37
457,50,42,87,28
458,109,30,95,12
459,63,35,102,14
460,106,38,35,16
461,30,42,129,28
462,24,44,19,28
463,1,45,25,28
464,8,37,72,21
465,116,31,119,14
466,130,42,71,3
467,115,48,6,17
468,114,26,34,16
469,41,31,113,23
470,82,41,117,20
471,125,44,111,23
472,76,35,68,14
473,5,58,126,37
474,89,28,39,7
475,13,41,118,14
476,40,28,94,24
477,15,44,48,16
478,77,45,58,28
479,18,35,123,28
480,28,56,11,14
481,99,34,67,26
482,105,27,66,17
483,106,24,41,21
484,56,41,108,14
485,117,48,111,17
486,30,30,53,25
487,32,14,116,7
488,33,27,97,24
489,36,24,93,10
490,128,45,43,17
491,62,37,49,34
492,57,28,122,10
493,59,33,61,10
494,60,27,84,24
495,22,38,68,31
496,81,6,20,0
497,86,29,42,10
498,100,24,95,10
499,121,40,38,36
500,127,20,45,16
501,3,24,52,10
502,7,39,23,38
503,44,55,78,24
504,12,38,46,9
505,74,24,50,23
506,113,52,4,45
507,65,30,119,3
508,63,34,55,23
509,64,45,31,16
510,75,31,69,24
511,79,62,80,52
512,110,31,91,24
513,112,19,92,14
514,98,24,101,7
515,10,42,102,27
516,72,45,103,35
517,47,42,104,35
518,21,17,107,16
519,109,52,87,21
520,120,31,129,17
521,13,41,70,14
522,118,24,71,10
523,6,41,24,30
524,19,37,83,23
525,34,20,17,13
526,37,21,35,17
527,89,52,90,7
528,114,31,39,23
529,115,49,5,35
530,125,38,82,3
531,126,24,96,21
532,9,21,1,0
533,76,48,124,37
534,130,16,25,13
535,94,37,26,20
536,40,52,29,27
537,88,31,54,24
538,16,38,15,28
539,58,24,2,14
540,18,42,28,30
541,77,38,105,10
542,123,48,48,20
543,4,27,35,6
544,73,34,85,31
545,66,63,11,17
546,99,35,21,24
547,96,30,125,22
548,17,31,114,21
549,9,21,27,16
550,68,17,14,14
551,65,35,20,21
552,22,31,33,14
553,106,42,23,17
554,107,31,29,24
555,81,37,32,30
556,38,28,122,22
557,51,38,121,21
558,53,30,129,23
559,59,35,54,10
560,57,41,76,8
561,67,43,91,40
562,78,48,60,3
563,84,35,88,6
564,93,28,31,20
565,124,64,97,43
566,110,49,26,24
567,10,40,36,17
568,43,24,42,14
569,80,49,45,42
570,127,28,47,23
571,52,33,7,10
572,30,48,50,23
573,61,54,69,21
574,3,31,63,24
575,64,50,100,17
576,74,45,119,10
577,75,23,86,13
578,79,38,98,20
579,62,50,112,22
580,95,43,87,34
581,92,24,8,19
582,101,42,46,27
583,102,55,71,14
584,37,33,103,30
585,104,38,12,24
586,109,24,116,19
587,49,44,120,21
588,128,38,44,14
589,130,28,1,14
590,5,49,83,28
591,115,38,24,24
592,126,33,117,25
593,70,59,90,14
594,111,44,6,37
595,34,31,39,21
596,13,59,25,52
597,2,37,77,34
598,105,66,15,37
599,18,42,48,23
600,28,27,58,24
601,66,35,123,31
602,16,40,11,24
603,94,27,108,20
604,114,38,71,35
605,129,41,65,38
606,14,39,26,16
607,27,43,38,20
608,29,48,21,20
609,31,36,109,7
610,30,52,32,24
611,36,42,49,13
612,43,41,88,0
613,51,56,97,10
614,57,44,121,28
615,60,17,54,7
616,78,52,42,14
617,81,24,87,21
618,84,56,69,44
619,110,45,99,19
620,122,20,85,14
621,124,30,68,24
622,101,28,127,14
623,63,28,7,21
624,8,30,103,12
625,10,42,113,14
626,45,23,12,13
627,25,42,90,14
628,86,24,44,15
629,79,41,46,3
630,112,47,72,34
631,56,66,91,45
632,74,52,9,49
633,75,39,61,0
634,47,45,80,40
635,102,31,62,24
636,95,66,20,21
637,52,30,100,10
638,98,27,104,3
639,107,20,40,17
640,116,9,53,7
641,64,45,120,17
642,128,24,59,10
643,55,16,17,10
644,13,44,1,19
645,50,42,119,21
646,118,38,39,0
647,34,13,130,7
648,35,52,92,0
649,23,13,41,7
650,82,48,5,28
651,6,40,83,24
652,96,17,19,14
653,115,28,111,23
654,125,33,117,30
655,76,24,67,17
656,89,42,70,23
657,2,24,48,14
658,58,28,11,7
659,28,34,15,31
660,62,31,63,28
661,16,31,77,24
662,18,31,66,24
663,85,24,57,14
664,105,37,123,10
665,110,49,94,42
666,122,10,121,0
667,40,24,67,14
668,44,56,69,14
669,98,45,12,22
670,104,27,101,23
671,89,35,71,10
672,32,41,129,17
673,64,48,7,45
674,106,62,103,9
675,111,30,19,27
676,30,31,20,12
677,21,22,26,21
678,33,38,31,22
679,4,31,37,10
680,36,38,38,7
681,51,44,49,17
682,95,28,53,27
683,84,66,54,3
684,78,31,59,20
685,68,33,73,21
686,86,31,43,24
687,60,40,88,7
688,22,34,93,10
689,14,42,97,14
690,120,42,100,24
691,27,31,124,23
692,10,26,3,14
693,75,42,42,7
694,47,20,45,19
695,52,45,102,21
696,35,34,112,24
697,50,20,116,6
698,8,67,113,50
699,56,70,29,13
700,65,41,81,10
701,128,31,61,0
702,79,59,127,31
703,80,58,46,17
704,74,30,87,14
705,91,41,107,38
706,99,43,108,22
707,109,28,119,7
708,1,38,118,35
709,6,42,5,30
710,72,17,41,10
711,117,34,24,13
712,70,23,114,16
713,82,69,83,10
714,90,20,130,17
715,96,38,76,20
716,125,41,126,14
717,34,28,13,17
718,17,30,39,20
719,115,31,96,28
720,4,63,112,14
721,23,28,35,17
722,41,24,37,10
723,106,32,8,25
724,72,22,92,17
725,32,63,55,45
726,33,42,113,10
727,110,62,56,55
728,22,38,57,3
729,30,41,74,17
730,36,28,10,7
731,105,45,2,28
732,78,27,128,21
733,79,41,98,17
734,13,17,34,14
735,9,14,67,13
736,106,50,74,30
737,37,27,129,17
738,13,38,82,28
739,53,31,25,28
740,65,35,8,30
741,30,50,2,3
742,50,51,91,10
743,99,28,32,3
744,77,41,109,6
745,130,37,18,14
746,94,38,104,34
747,9,42,89,35
748,4,34,105,0
749,34,33,40,27
750,117,30,127,14
751,27,36,66,14
752,47,35,111,17
753,33,42,95,13
754,44,27,14,20
755,86,38,5,35
756,101,33,64,16
757,67,49,121,7
758,80,30,122,21
759,98,39,96,37
760,60,42,126,17
761,124,55,102,52
762,68,52,6,31
763,75,24,49,23
764,72,26,118,20
765,78,24,115,7
766,63,31,51,27
767,45,21,56,20
768,84,35,125,28
769,128,34,57,24
770,93,26,59,19
771,110,34,10,27
772,76,21,52,17
773,36,54,79,48
774,3,24,22,6
775,3,26,36,23
