,2,4,5,7
0,39,38,55,35
1,25,58,83,27
2,94,42,90,22
3,96,62,87,7
4,78,49,43,21
5,56,37,113,29
6,61,17,16,7
7,6,37,72,31
8,110,61,32,17
9,80,59,108,24
10,28,24,20,7
11,125,30,88,14
12,14,23,66,20
13,128,59,118,10
14,24,17,25,3
15,67,42,30,19
16,22,56,48,3
17,23,38,55,28
18,3,24,33,7
19,36,31,4,10
20,53,31,58,26
21,60,35,15,10
22,19,35,73,30
23,93,35,68,28
24,84,52,2,0
25,51,35,86,28
26,10,41,35,7
27,52,27,17,0
28,59,33,31,17
29,42,24,11,21
30,44,24,130,3
31,69,43,8,36
32,75,31,70,20
33,79,56,119,7
34,62,47,92,27
35,54,51,101,41
36,13,24,106,13
37,115,49,123,31
38,76,49,99,16
39,49,24,95,17
40,120,28,65,6
41,111,45,102,44
42,122,31,127,24
43,100,42,38,41
44,86,44,77,21
45,80,44,92,7
46,9,21,16,17
47,11,51,109,31
48,124,34,14,10
49,22,14,10,6
50,27,41,75,17
51,81,17,55,7
52,59,36,21,14
53,60,28,123,14
54,67,23,107,21
55,51,47,73,35
56,68,37,53,20
57,79,31,78,16
58,84,33,85,14
59,28,16,88,13
60,65,30,97,23
61,43,34,121,17
62,127,56,29,20
63,3,41,34,10
64,98,28,7,7
65,116,17,12,10
66,42,20,129,7
67,44,44,45,41
68,18,45,46,27
69,47,55,20,7
70,93,31,64,13
71,91,54,74,32
72,101,56,90,0
73,108,66,112,42
74,128,31,30,14
75,117,19,17,13
76,24,37,103,3
77,72,30,71,28
78,87,31,119,14
79,40,19,5,16
80,89,30,6,20
81,114,44,41,16
82,105,37,70,24
83,82,42,69,35
84,61,48,83,14
85,111,56,39,23
86,115,42,96,24
87,126,47,13,44
88,63,57,50,21
89,36,20,76,19
90,13,28,71,14
91,94,47,42,23
92,99,29,55,21
93,5,63,119,16
94,45,41,2,14
95,76,49,14,20
96,27,34,12,20
97,122,64,29,17
98,31,26,100,20
99,22,47,51,21
100,53,21,48,0
101,21,21,58,17
102,59,29,1,13
103,77,42,46,30
104,78,38,9,7
105,73,53,81,23
106,84,56,37,0
107,80,59,85,21
108,49,23,93,13
109,97,41,18,17
110,105,54,108,51
111,121,38,26,18
112,124,46,118,10
113,123,37,41,28
114,3,41,25,23
115,40,38,87,3
116,44,31,74,14
117,95,28,113,17
118,56,48,111,45
119,61,34,65,3
120,63,37,52,7
121,86,35,64,3
122,66,21,69,17
123,75,49,15,7
124,79,56,107,14
125,98,56,91,36
126,102,45,112,21
127,4,20,103,13
128,104,52,6,45
129,109,30,23,23
130,120,14,47,7
131,50,23,129,22
132,128,40,17,6
133,106,27,72,24
134,117,54,90,16
135,19,27,62,16
136,115,27,101,24
137,125,48,34,16
138,126,52,83,23
139,82,49,130,13
140,89,20,96,17
141,94,43,99,7
142,117,30,5,24
143,121,42,13,23
144,124,20,4,19
145,16,34,30,31
146,58,31,18,14
147,37,28,20,0
148,22,34,14,7
149,77,27,28,20
150,68,27,33,21
151,36,31,63,3
152,38,35,85,17
153,43,52,35,17
154,31,28,49,27
155,51,42,48,3
156,110,38,54,10
157,57,52,105,30
158,76,38,60,18
159,67,42,21,32
160,27,27,73,17
161,78,54,114,21
162,59,28,86,10
163,93,17,50,16
164,100,17,55,13
165,122,38,81,0
166,79,49,12,41
167,104,27,40,24
168,84,21,44,19
169,127,56,46,34
170,52,35,97,26
171,113,56,112,50
172,65,24,15,13
173,10,51,64,14
174,69,27,88,17
175,74,46,109,43
176,98,44,80,31
177,32,13,87,7
178,91,44,8,21
179,41,29,92,23
180,102,50,7,43
181,116,44,103,14
182,106,22,2,17
183,107,21,9,17
184,71,16,108,13
185,3,59,120,0
186,129,33,11,21
187,125,37,24,10
188,72,41,119,14
189,130,28,39,21
190,6,37,82,35
191,115,30,19,20
192,118,61,90,10
193,96,58,111,34
194,126,45,70,7
195,89,28,1,24
196,29,41,26,38
197,101,17,45,7
198,57,31,27,6
199,69,28,42,6
200,126,30,115,27
201,118,40,17,24
202,14,28,18,8
203,2,34,15,23
204,53,38,21,21
205,94,61,29,31
206,32,30,20,29
207,31,38,120,24
208,30,38,65,20
209,38,33,73,7
210,16,27,48,13
211,49,24,28,20
212,77,58,55,50
213,60,17,44,10
214,68,33,97,25
215,84,45,43,14
216,85,42,87,10
217,78,56,88,0
218,40,20,99,13
219,36,41,100,0
220,22,31,122,17
221,33,26,124,19
222,123,55,11,3
223,3,66,62,3
224,7,42,72,24
225,10,49,63,10
226,47,33,12,20
227,106,24,52,21
228,50,34,92,16
229,113,51,23,43
230,54,31,61,24
231,91,49,26,28
232,74,43,95,28
233,102,24,93,17
234,80,41,104,34
235,67,31,108,21
236,128,33,75,24
237,130,45,103,10
238,34,41,70,21
239,82,45,19,24
240,125,42,83,7
241,96,34,6,24
242,111,27,24,23
243,114,41,90,13
244,9,35,119,21
245,76,52,58,17
246,25,51,39,21
247,71,56,1,38
248,89,34,66,28
249,110,40,56,13
250,8,43,35,25
251,68,39,51,25
252,56,70,26,31
253,13,24,17,7
254,57,24,33,20
255,2,31,11,3
256,122,23,14,10
257,123,71,16,68
258,53,14,20,3
259,110,51,21,23
260,22,28,124,14
261,37,27,23,21
262,99,34,29,10
263,52,17,31,16
264,49,40,64,34
265,15,37,58,29
266,60,14,59,10
267,67,48,1,45
268,76,33,73,10
269,18,26,77,23
270,78,62,54,14
271,30,58,81,28
272,86,31,61,17
273,93,48,7,22
274,97,27,85,24
275,105,20,28,15
276,121,28,27,21
277,4,45,72,31
278,10,44,62,23
279,44,45,42,16
280,104,65,46,19
281,65,37,32,17
282,128,38,69,17
283,66,24,48,3
284,84,31,75,7
285,45,38,79,31
286,9,49,87,12
287,40,35,91,22
288,98,31,127,24
289,101,40,47,34
290,3,27,102,19
291,113,45,103,27
292,107,62,108,28
293,109,23,50,22
294,95,31,116,29
295,36,45,120,14
296,5,45,24,42
297,129,15,119,14
298,96,23,117,20
299,25,27,118,14
300,112,21,41,16
301,126,33,82,10
302,34,27,90,10
303,89,41,114,10
304,115,38,83,10
305,125,38,19,7
306,70,35,39,21
307,92,19,106,8
308,112,24,103,7
309,97,27,22,24
310,19,37,126,3
