accuracy	cv_folds	end_timestamp	experiment_name	feature_scaling	featureset	featureset_name	fold	grid_objective	grid_score	grid_search	grid_search_folds	learner_name	min_feature_count	model_params	pearson	save_cv_folds	scikit_learn_version	score	shuffle	start_timestamp	stratified_folds	task	test_set_name	test_set_size	total_time	train_set_name	train_set_size	use_folds_file_for_grid_search	version
0.98		10 Oct 2017 16:39:13.624199	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris		f1_score_micro	0.93	True	3	RandomForestClassifier	1	"{""bootstrap"": true, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": 1, ""oob_score"": false, ""random_state"": 123456789, ""verbose"": 0, ""warm_start"": false}"		False	0.19.0	0.98	False	10 Oct 2017 16:39:10.834284	True	evaluate	test	50	0:00:02.789915	train	100	True	1.3
1.0		10 Oct 2017 16:39:13.879124	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris		f1_score_micro	0.96	True	3	SVC	1	"{""C"": 10.0, ""cache_size"": 1000, ""class_weight"": null, ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""auto"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": false, ""random_state"": 123456789, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"		False	0.19.0	1.0	False	10 Oct 2017 16:39:13.626027	True	evaluate	test	50	0:00:00.253097	train	100	True	1.3
0.98		10 Oct 2017 16:39:14.082334	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris		f1_score_micro	0.95	True	3	LogisticRegression	1	"{""C"": 100.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""max_iter"": 100, ""multi_class"": ""ovr"", ""n_jobs"": 1, ""penalty"": ""l2"", ""random_state"": 123456789, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"		False	0.19.0	0.98	False	10 Oct 2017 16:39:13.880475	True	evaluate	test	50	0:00:00.201859	train	100	True	1.3
0.96		10 Oct 2017 16:39:14.226559	Iris_Evaluate	none	"[""example_iris_features""]"	example_iris		f1_score_micro	0.93	True	3	MultinomialNB	1	"{""alpha"": 0.1, ""class_prior"": null, ""fit_prior"": true}"		False	0.19.0	0.96	False	10 Oct 2017 16:39:14.083631	True	evaluate	test	50	0:00:00.142928	train	100	True	1.3
